machine-learning,R language,Python,NLP,Data Engineering
Data Visualization,tidyr,plotly,Spacy,aws
Predictive Analysis,ggplot2,NumPy,gensim,ec2
Statistical Modeling,Algorithms,SciPy,Python,redshift
Data Mining,dplyr,Scikit-learn,NLTK,ETL
Clustering & Classification,tidyquant,Vidyavilla,TextBlob,hadoop
Data Analytics,dygraphs,Keras,CoreNLP,hive
Quantitative Analysis,leaflet,PyTorch,,docker
Web Scraping,ggmap,Matplotlib,,kubernetes
ML Algorithms,glue,Pandas,MYSQL,
Model Development,plotly,,,